,weight,age,height
47161,81,34.0,170.18
67308,61,34.0,165.1
68090,58,26.0,165.1
21764,65,30.0,165.1
8184,90,57.0,170.18
30091,58,32.0,165.1
106497,45,29.0,162.56
73417,65,30.0,162.56
116535,58,41.0,167.64
59511,45,29.0,157.48
109112,64,58.0,172.72
105426,74,32.0,172.72
40765,49,22.0,160.02
77195,65,30.0,167.64
13635,68,35.0,177.8
64327,57,32.0,165.1
40567,63,35.0,167.64
79670,68,29.0,160.02
8323,65,28.0,157.48
76458,54,41.0,162.56
100113,62,37.0,172.72
107006,67,53.0,167.64
74454,55,29.0,165.1
116911,65,31.0,165.1
114920,56,30.0,167.64
111874,58,34.0,170.18
107299,68,31.0,172.72
22564,70,33.0,170.18
113721,72,34.0,175.26
70409,56,35.0,162.56
39411,56,38.0,167.64
111405,61,46.0,167.64
14873,58,49.0,167.64
23411,77,29.0,162.56
65729,58,31.0,157.48
73684,58,30.0,162.56
62921,49,31.0,172.72
107063,49,30.0,157.48
119539,72,24.0,172.72
104714,61,38.0,162.56
117445,52,28.0,157.48
95504,55,29.0,167.64
36701,59,34.0,170.18
18615,68,30.0,175.26
114052,70,30.0,162.56
72335,56,31.0,160.02
49978,58,31.0,154.94
86265,74,37.0,162.56
90826,56,62.0,162.56
43392,63,33.0,157.48
50971,56,28.0,162.56
56137,54,31.0,177.8
117946,65,35.0,170.18
83544,102,28.0,160.02
90320,56,50.0,165.1
73279,61,40.0,170.18
20998,44,25.0,157.48
59493,70,33.0,167.64
45646,52,31.0,167.64
83315,65,29.0,172.72
113852,52,32.0,165.1
82043,53,30.0,172.72
63311,58,43.0,160.02
118112,54,44.0,170.18
80347,58,33.0,165.1
23990,52,32.0,165.1
4805,54,39.0,157.48
99542,61,33.0,160.02
83953,61,33.0,167.64
6571,65,30.0,165.1
41119,55,31.0,167.64
41355,86,41.0,185.42
93976,68,28.0,167.64
91128,59,47.0,165.1
30910,68,28.0,165.1
8587,54,23.0,152.4
84597,65,36.0,162.56
26659,65,36.0,167.64
42481,54,38.0,162.56
70483,77,55.0,157.48
93368,54,20.0,170.18
21074,54,36.0,172.72
114854,74,27.0,182.88
82199,96,35.0,172.72
112388,63,27.0,162.56
48857,68,32.0,175.26
22981,57,27.0,162.56
92359,52,40.0,167.64
101091,65,57.0,170.18
111402,61,34.0,157.48
50343,63,26.0,175.26
66328,56,30.0,162.56
1564,70,26.0,170.18
113146,61,29.0,162.56
64450,61,21.0,172.72
29571,74,30.0,170.18
24380,56,31.0,165.1
76325,58,32.0,157.48
86907,70,44.0,170.18
16995,70,36.0,167.64
61579,56,25.0,162.56
60583,56,33.0,167.64
16898,86,53.0,165.1
92531,52,36.0,160.02
115121,61,35.0,165.1
49220,63,34.0,167.64
40035,70,29.0,160.02
37399,74,28.0,167.64
57604,70,36.0,177.8
17549,63,31.0,170.18
26736,53,32.0,162.56
52221,55,36.0,170.18
1214,58,32.0,165.1
21963,56,47.0,160.02
9648,63,34.0,172.72
44590,62,32.0,162.56
76295,81,31.0,172.72
11022,102,35.0,185.42
76054,47,27.0,157.48
15206,52,39.0,162.56
9796,51,43.0,160.02
14081,65,54.0,167.64
87013,56,31.0,165.1
97721,56,29.0,154.94
56612,68,37.0,170.18
56786,59,22.0,162.56
45121,63,29.0,165.1
85905,59,23.0,167.64
42423,65,37.0,172.72
6773,58,33.0,165.1
60637,52,21.0,170.18
103272,61,29.0,167.64
5507,53,33.0,167.64
78450,58,42.0,160.02
82077,61,34.0,152.4
97667,68,24.0,152.4
43000,102,26.0,165.1
46783,68,29.0,175.26
43525,54,44.0,170.18
57816,65,28.0,157.48
47349,48,27.0,157.48
18724,74,35.0,165.1
9988,73,48.0,177.8
13141,58,22.0,157.48
99457,58,31.0,167.64
84164,65,47.0,154.94
14614,52,31.0,154.94
83375,62,35.0,175.26
54989,68,26.0,170.18
65972,52,28.0,157.48
17595,68,25.0,177.8
102708,45,27.0,149.86
99432,54,31.0,154.94
111335,66,43.0,160.02
2771,54,38.0,165.1
80474,63,22.0,170.18
17909,58,30.0,167.64
83281,68,43.0,165.1
16655,54,46.0,160.02
102327,83,31.0,165.1
72649,61,35.0,160.02
11329,54,32.0,162.56
77708,72,27.0,172.72
95103,88,45.0,165.1
38496,53,35.0,160.02
12518,67,25.0,175.26
15231,61,33.0,162.56
61972,54,30.0,162.56
114381,55,26.0,170.18
60422,61,32.0,170.18
88379,63,31.0,165.1
66771,64,34.0,170.18
93080,63,32.0,170.18
49072,72,33.0,175.26
59822,58,49.0,170.18
13932,58,19.0,170.18
92148,61,37.0,162.56
54239,60,48.0,167.64
88556,68,37.0,170.18
95314,65,48.0,170.18
3198,48,48.0,167.64
14012,79,42.0,165.1
39383,63,45.0,162.56
85933,68,38.0,170.18
10972,61,26.0,167.64
8869,54,26.0,152.4
104151,56,34.0,167.64
20766,54,33.0,154.94
115306,66,48.0,172.72
58167,88,32.0,165.1
5686,63,31.0,167.64
81112,68,44.0,160.02
83676,63,28.0,170.18
90922,62,35.0,160.02
12089,61,41.0,152.4
113993,63,41.0,162.56
75275,63,25.0,162.56
111704,68,31.0,180.34
54479,65,47.0,167.64
93299,72,30.0,162.56
54411,52,25.0,160.02
63940,90,43.0,172.72
31664,54,29.0,162.56
14786,45,26.0,154.94
49622,77,33.0,180.34
20740,88,26.0,175.26
96848,56,27.0,165.1
14213,68,43.0,167.64
54026,58,29.0,162.56
50126,58,45.0,170.18
14860,54,40.0,157.48
3512,56,50.0,154.94
18497,56,36.0,170.18
75791,61,35.0,175.26
34725,68,52.0,177.8
20887,68,62.0,170.18
18268,53,36.0,157.48
64,63,36.0,157.48
8545,56,35.0,157.48
29205,61,33.0,170.18
79048,65,31.0,162.56
119465,54,31.0,152.4
118117,56,27.0,165.1
56746,56,29.0,162.56
46352,58,30.0,162.56
57716,79,24.0,185.42
10135,61,27.0,157.48
101106,70,32.0,160.02
102795,56,37.0,157.48
28379,56,35.0,162.56
65939,61,34.0,170.18
76201,72,39.0,182.88
28076,79,46.0,167.64
97310,63,30.0,160.02
38260,63,33.0,165.1
88917,77,31.0,167.64
88012,54,47.0,162.56
34026,77,34.0,157.48
34470,55,37.0,165.1
22003,48,32.0,154.94
5545,62,33.0,152.4
84776,49,38.0,165.1
104092,79,36.0,167.64
75700,63,37.0,160.02
104987,63,35.0,170.18
32941,52,46.0,162.56
100080,72,35.0,182.88
29618,68,29.0,167.64
114371,63,37.0,162.56
92222,108,39.0,154.94
75623,49,28.0,165.1
65970,72,31.0,185.42
21583,45,36.0,170.18
112827,56,33.0,162.56
89103,54,31.0,152.4
106610,72,43.0,182.88
22332,68,32.0,170.18
89876,63,52.0,167.64
95240,72,32.0,177.8
10963,56,32.0,165.1
106977,68,58.0,160.02
86875,62,26.0,170.18
57575,51,38.0,160.02
59583,65,25.0,162.56
33638,58,31.0,167.64
35609,72,25.0,162.56
8928,52,26.0,162.56
22586,55,26.0,170.18
7216,61,32.0,157.48
88444,56,27.0,170.18
71779,56,29.0,165.1
85175,72,35.0,170.18
11842,51,41.0,170.18
